Time	Sum	Command
2991	27838	> builtin source /opt/homebrew/Cellar/fish/4.0.1/share/fish/config.fish
110	110	-> set -g IFS \n\ \t
11	11	-> set -qg __fish_added_user_paths
6	6	-> set -g __fish_added_user_paths
44	44	-> function __fish_default_command_not_found_handler...
5	19	-> if not status --is-interactive...
14	14	--> not status --is-interactive
5	5	-> set -l __extra_completionsdir
4	4	-> set -l __extra_functionsdir
5	5	-> set -l __extra_confdir
7	1365	-> if test -f $__fish_data_dir/__fish_build_paths.fish...
133	133	--> test -f $__fish_data_dir/__fish_build_paths.fish
1196	1225	--> source $__fish_data_dir/__fish_build_paths.fish
17	17	---> set __extra_completionsdir /opt/homebrew/share/fish/vendor_completions.d
6	6	---> set __extra_functionsdir /opt/homebrew/share/fish/vendor_functions.d
6	6	---> set __extra_confdir /opt/homebrew/share/fish/vendor_conf.d
6	6	-> set -l xdg_data_dirs
7	20	-> if set -q XDG_DATA_DIRS...
4	4	--> set -q XDG_DATA_DIRS
9	9	--> set xdg_data_dirs $__fish_data_dir
5	5	-> set -g __fish_vendor_completionsdirs
5	5	-> set -g __fish_vendor_functionsdirs
55	55	-> set -g __fish_vendor_confdirs
361	685	-> if not set -q FISH_UNIT_TESTS_RUNNING...
5	5	--> not set -q FISH_UNIT_TESTS_RUNNING
184	184	--> set __fish_vendor_completionsdirs $__fish_user_data_dir/vendor_completions.d $xdg_data_dirs/vendor_completions.d
15	15	--> set __fish_vendor_functionsdirs $__fish_user_data_dir/vendor_functions.d $xdg_data_dirs/vendor_functions.d
11	11	--> set __fish_vendor_confdirs $__fish_user_data_dir/vendor_conf.d $xdg_data_dirs/vendor_conf.d
6	60	--> if not contains -- $__extra_completionsdir $__fish_vendor_completionsdirs...
45	45	---> not contains -- $__extra_completionsdir $__fish_vendor_completionsdirs
9	9	---> set -a __fish_vendor_completionsdirs $__extra_completionsdir
7	28	--> if not contains -- $__extra_functionsdir $__fish_vendor_functionsdirs...
10	10	---> not contains -- $__extra_functionsdir $__fish_vendor_functionsdirs
11	11	---> set -a __fish_vendor_functionsdirs $__extra_functionsdir
4	21	--> if not contains -- $__extra_confdir $__fish_vendor_confdirs...
9	9	---> not contains -- $__extra_confdir $__fish_vendor_confdirs
8	8	---> set -a __fish_vendor_confdirs $__extra_confdir
5	30	-> if not set -q fish_function_path...
4	4	--> not set -q fish_function_path
21	21	--> set fish_function_path $__fish_config_dir/functions $__fish_sysconf_dir/functions $__fish_vendor_functionsdirs $__fish_data_dir/functions
20	136	-> if not set -q fish_complete_path...
3	3	--> not set -q fish_complete_path
113	113	--> set fish_complete_path $__fish_config_dir/completions $__fish_sysconf_dir/completions $__fish_vendor_completionsdirs $__fish_data_dir/completions $__fish_cache_dir/generated_completions
16	16	-> function __fish_reconstruct_path -d "Update PATH when fish_user_paths changes" --on-variable fish_user_paths...
13	13	-> function fish_sigtrap_handler --on-signal TRAP --no-scope-shadowing --description "TRAP handler: debug prompt"...
5	5	-> function __fish_on_interactive --on-event fish_prompt --on-event fish_read...
5	5	-> not set -q LANG
2	8	-> if status --is-login...
6	6	--> status --is-login
46	2207	-> __fish_reconstruct_path
4	4	--> set -l new_user_path
271	610	--> for path in (string split : -- $fish_user_paths)...
46	46	---> string split : -- $fish_user_paths
